ruta,Origen,origen_localidad,origen_pais,origen_provincia,origen_continente,origen_lat,origen_lon,Destino,destino_localidad,destino_pais,destino_provincia,destino_continente,destino_lat,destino_lon
Puerto Madryn (Argentina) - San Carlos de Bariloche (Argentina),Puerto Madryn (Argentina),Puerto Madryn,Argentina,Chubut,América del Sur,-42.7673414,-65.0365942,San Carlos de Bariloche (Argentina),San Carlos de Bariloche,Argentina,Río Negro,América del Sur,-41.1334781,-71.3101474
San Carlos de Bariloche (Argentina) - San Martín de los Andes (Argentina),San Carlos de Bariloche (Argentina),San Carlos de Bariloche,Argentina,Río Negro,América del Sur,-41.1334781,-71.3101474,San Martín de los Andes (Argentina),San Martín de los Andes,Argentina,Neuquén,América del Sur,-40.1568791,-71.3525588
Puerto Argentino (Argentina) - Río Gallegos (Argentina),Puerto Argentino (Argentina),Puerto Argentino,Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",América del Sur,-39.1090528,-67.0883807,Río Gallegos (Argentina),Río Gallegos,Argentina,Santa Cruz,América del Sur,-51.6268852,-69.105804
Río Gallegos (Argentina) - Punta Arenas (Chile),Río Gallegos (Argentina),Río Gallegos,Argentina,Santa Cruz,América del Sur,-51.6268852,-69.105804,Punta Arenas (Chile),Punta Arenas,Chile,,América del Sur,-53.1625688,-70.907822
Ciudad de Buenos Aires (Argentina) - Porto Seguro (Brasil),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Porto Seguro (Brasil),Porto Seguro,Brasil,,América del Sur,-16.443473,-39.064251
Ezeiza (Argentina) - Cabo Frio (Brasil),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Cabo Frio (Brasil),Cabo Frio,Brasil,,América del Sur,-22.8804369,-42.0189227
Reconquista (Argentina) - Sunchales (Argentina),Reconquista (Argentina),Reconquista,Argentina,Santa Fe,América del Sur,-29.1443478,-59.6437728,Sunchales (Argentina),Sunchales,Argentina,Santa Fe,América del Sur,-30.9450891,-61.5608072
Ezeiza (Argentina) - San Luis (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,San Luis (Argentina),San Luis,Argentina,San Luis,América del Sur,-33.2762202,-65.9515546
Córdoba (Argentina) - Posadas (Argentina),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,Posadas (Argentina),Posadas,Argentina,Misiones,América del Sur,-27.3664824,-55.894295
Ezeiza (Argentina) - Posadas (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Posadas (Argentina),Posadas,Argentina,Misiones,América del Sur,-27.3664824,-55.894295
Comodoro Rivadavia (Argentina) - Ezeiza (Argentina),Comodoro Rivadavia (Argentina),Comodoro Rivadavia,Argentina,Chubut,América del Sur,-45.8632024,-67.4752615,Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234
Bahía Blanca (Argentina) - Ezeiza (Argentina),Bahía Blanca (Argentina),Bahía Blanca,Argentina,Buenos Aires,América del Sur,-38.7176522,-62.2654871,Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234
Salta (Argentina) - San Miguel de Tucumán (Argentina),Salta (Argentina),Salta,Argentina,Salta,América del Sur,-25.1076701,-64.3494964,San Miguel de Tucumán (Argentina),San Miguel de Tucumán,Argentina,Tucumán,América del Sur,-26.8303703,-65.2038133
Neuquén (Argentina) - Puerto Madryn (Argentina),Neuquén (Argentina),Neuquén,Argentina,Neuquén,América del Sur,-38.3695057,-69.832275,Puerto Madryn (Argentina),Puerto Madryn,Argentina,Chubut,América del Sur,-42.7673414,-65.0365942
Posadas (Argentina) - Puerto Iguazú (Argentina),Posadas (Argentina),Posadas,Argentina,Misiones,América del Sur,-27.3664824,-55.894295,Puerto Iguazú (Argentina),Puerto Iguazú,Argentina,Misiones,América del Sur,-25.6107508,-54.5764199
Puerto Iguazú (Argentina) - Montevideo (Uruguay),Puerto Iguazú (Argentina),Puerto Iguazú,Argentina,Misiones,América del Sur,-25.6107508,-54.5764199,Montevideo (Uruguay),Montevideo,Uruguay,,América del Sur,-34.9058916,-56.1913095
Ezeiza (Argentina) - Quito (Ecuador),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Quito (Ecuador),Quito,Ecuador,,América del Sur,-0.2201641,-78.5123274
Ezeiza (Argentina) - Panama City (Estados Unidos),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Panama City (Estados Unidos),Panama City,Estados Unidos,,América del Norte,30.1586518,-85.6602936
San Miguel de Tucumán (Argentina) - Quito (Ecuador),San Miguel de Tucumán (Argentina),San Miguel de Tucumán,Argentina,Tucumán,América del Sur,-26.8303703,-65.2038133,Quito (Ecuador),Quito,Ecuador,,América del Sur,-0.2201641,-78.5123274
Mendoza (Argentina) - Lima (Perú),Mendoza (Argentina),Mendoza,Argentina,Mendoza,América del Sur,-34.787093,-68.4381868,Lima (Perú),Lima,Perú,,América del Sur,-12.0621065,-77.0365256
Puerto Iguazú (Argentina) - Porto Seguro (Brasil),Puerto Iguazú (Argentina),Puerto Iguazú,Argentina,Misiones,América del Sur,-25.6107508,-54.5764199,Porto Seguro (Brasil),Porto Seguro,Brasil,,América del Sur,-16.443473,-39.064251
Ezeiza (Argentina) - Manaus (Brasil),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Manaus (Brasil),Manaus,Brasil,,América del Sur,-3.1316333,-59.9825041
San Miguel de Tucumán (Argentina) - Arica (Chile),San Miguel de Tucumán (Argentina),San Miguel de Tucumán,Argentina,Tucumán,América del Sur,-26.8303703,-65.2038133,Arica (Chile),Arica,Chile,,América del Sur,-18.4785288,-70.3211394
Ezeiza (Argentina) - Mobile (Estados Unidos),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Mobile (Estados Unidos),Mobile,Estados Unidos,,América del Norte,30.6913462,-88.0437509
Ezeiza (Argentina) - Parnamirim (Brasil),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Parnamirim (Brasil),Parnamirim,Brasil,,América del Sur,-5.9153334,-35.2679913
San Salvador de Jujuy (Argentina) - Iquique (Chile),San Salvador de Jujuy (Argentina),San Salvador de Jujuy,Argentina,Jujuy,América del Sur,-24.1852569,-65.2994789,Iquique (Chile),Iquique,Chile,,América del Sur,-20.2140657,-70.1524646
Comodoro Rivadavia (Argentina) - Trelew (Argentina),Comodoro Rivadavia (Argentina),Comodoro Rivadavia,Argentina,Chubut,América del Sur,-45.8632024,-67.4752615,Trelew (Argentina),Trelew,Argentina,Chubut,América del Sur,-43.2531242,-65.3094407
Mendoza (Argentina) - San Salvador de Jujuy (Argentina),Mendoza (Argentina),Mendoza,Argentina,Mendoza,América del Sur,-34.787093,-68.4381868,San Salvador de Jujuy (Argentina),San Salvador de Jujuy,Argentina,Jujuy,América del Sur,-24.1852569,-65.2994789
Rosario (Argentina) - Ushuaia (Argentina),Rosario (Argentina),Rosario,Argentina,Santa Fe,América del Sur,-32.9593609,-60.6617024,Ushuaia (Argentina),Ushuaia,Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",América del Sur,-54.807306,-68.3084133
Ezeiza (Argentina) - Porto Alegre (Brasil),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Porto Alegre (Brasil),Porto Alegre,Brasil,,América del Sur,-30.0324999,-51.2303767
Ciudad de Buenos Aires (Argentina) - Reconquista (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Reconquista (Argentina),Reconquista,Argentina,Santa Fe,América del Sur,-29.1443478,-59.6437728
Ezeiza (Argentina) - Puerto Madryn (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Puerto Madryn (Argentina),Puerto Madryn,Argentina,Chubut,América del Sur,-42.7673414,-65.0365942
Puerto Madryn (Argentina) - Ushuaia (Argentina),Puerto Madryn (Argentina),Puerto Madryn,Argentina,Chubut,América del Sur,-42.7673414,-65.0365942,Ushuaia (Argentina),Ushuaia,Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",América del Sur,-54.807306,-68.3084133
San Miguel de Tucumán (Argentina) - Iquitos (Perú),San Miguel de Tucumán (Argentina),San Miguel de Tucumán,Argentina,Tucumán,América del Sur,-26.8303703,-65.2038133,Iquitos (Perú),Iquitos,Perú,,América del Sur,-3.749365,-73.2444145
Resistencia (Argentina) - Porto Seguro (Brasil),Resistencia (Argentina),Resistencia,Argentina,Chaco,América del Sur,-27.6048829,-59.1932003,Porto Seguro (Brasil),Porto Seguro,Brasil,,América del Sur,-16.443473,-39.064251
Bahía Blanca (Argentina) - Comodoro Rivadavia (Argentina),Bahía Blanca (Argentina),Bahía Blanca,Argentina,Buenos Aires,América del Sur,-38.7176522,-62.2654871,Comodoro Rivadavia (Argentina),Comodoro Rivadavia,Argentina,Chubut,América del Sur,-45.8632024,-67.4752615
Ezeiza (Argentina) - Sunchales (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Sunchales (Argentina),Sunchales,Argentina,Santa Fe,América del Sur,-30.9450891,-61.5608072
Esquel (Argentina) - Ezeiza (Argentina),Esquel (Argentina),Esquel,Argentina,Chubut,América del Sur,-42.9173055,-71.3216508,Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234
Posadas (Argentina) - Rosario (Argentina),Posadas (Argentina),Posadas,Argentina,Misiones,América del Sur,-27.3664824,-55.894295,Rosario (Argentina),Rosario,Argentina,Santa Fe,América del Sur,-32.9593609,-60.6617024
Ciudad de Buenos Aires (Argentina) - Malargue (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Malargue (Argentina),Malargue,Argentina,Mendoza,América del Sur,-35.4752134,-69.585934
San Juan (Argentina) - La Serena (Chile),San Juan (Argentina),San Juan,Argentina,San Juan,América del Sur,-30.7054363,-69.1988222,La Serena (Chile),La Serena,Chile,,América del Sur,-29.902631,-71.2520253
Ezeiza (Argentina) - San Fernando del Valle de Catamarca (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,San Fernando del Valle de Catamarca (Argentina),San Fernando del Valle de Catamarca,Argentina,Catamarca,América del Sur,-28.4688806,-65.7790642
Río Gallegos (Argentina) - San Carlos de Bariloche (Argentina),Río Gallegos (Argentina),Río Gallegos,Argentina,Santa Cruz,América del Sur,-51.6268852,-69.105804,San Carlos de Bariloche (Argentina),San Carlos de Bariloche,Argentina,Río Negro,América del Sur,-41.1334781,-71.3101474
Ezeiza (Argentina) - Ocumare del Tuy (Venezuela),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Ocumare del Tuy (Venezuela),Ocumare del Tuy,Venezuela,,América del Sur,10.1136963,-66.7757458
Corrientes (Argentina) - Formosa (Argentina),Corrientes (Argentina),Corrientes,Argentina,Corrientes,América del Sur,-28.9956512,-57.812458,Formosa (Argentina),Formosa,Argentina,Formosa,América del Sur,-24.5955306,-60.4289718
El Calafate (Argentina) - Río de Janeiro (Brasil),El Calafate (Argentina),El Calafate,Argentina,Santa Cruz,América del Sur,-50.3387375,-72.2737216,Río de Janeiro (Brasil),Río de Janeiro,Brasil,,América del Sur,-22.9110137,-43.2093727
Ezeiza (Argentina) - Belo Horizonte (Brasil),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Belo Horizonte (Brasil),Belo Horizonte,Brasil,,América del Sur,-19.9227318,-43.9450948
San Miguel de Tucumán (Argentina) - São Paulo (Brasil),San Miguel de Tucumán (Argentina),San Miguel de Tucumán,Argentina,Tucumán,América del Sur,-26.8303703,-65.2038133,São Paulo (Brasil),São Paulo,Brasil,,América del Sur,-23.5506507,-46.6333824
Ciudad de Buenos Aires (Argentina) - Merlo (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Merlo (Argentina),Merlo,Argentina,San Luis,América del Sur,-34.6604988,-58.7321695
El Palomar (Argentina) - Mar del Plata (Argentina),El Palomar (Argentina),El Palomar,Argentina,Buenos Aires,América del Sur,-34.6225227,-58.595568,Mar del Plata (Argentina),Mar del Plata,Argentina,Buenos Aires,América del Sur,-37.9976168,-57.5482079
Córdoba (Argentina) - Nueva York (Estados Unidos),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,Nueva York (Estados Unidos),Nueva York,Estados Unidos,,América del Norte,40.7127281,-74.0060152
Córdoba (Argentina) - Miami (Estados Unidos),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,Miami (Estados Unidos),Miami,Estados Unidos,,América del Norte,25.7741728,-80.19362
Córdoba (Argentina) - Madrid (España),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,Madrid (España),Madrid,España,,Europa,40.4167047,-3.7035825
Córdoba (Argentina) - Santa Cruz de la Sierra (Bolivia),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,Santa Cruz de la Sierra (Bolivia),Santa Cruz de la Sierra,Bolivia,,América del Sur,-17.7834217,-63.1820853
Rosario (Argentina) - Santiago (Chile),Rosario (Argentina),Rosario,Argentina,Santa Fe,América del Sur,-32.9593609,-60.6617024,Santiago (Chile),Santiago,Chile,,América del Sur,-33.4377756,-70.6504502
Ezeiza (Argentina) - Cascavel (Brasil),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Cascavel (Brasil),Cascavel,Brasil,,América del Sur,-24.9554996,-53.4560544
Ezeiza (Argentina) - Melo (Uruguay),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Melo (Uruguay),Melo,Uruguay,,América del Sur,-32.3680849,-54.1697146
Ezeiza (Argentina) - Mar del Plata (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Mar del Plata (Argentina),Mar del Plata,Argentina,Buenos Aires,América del Sur,-37.9976168,-57.5482079
Comodoro Rivadavia (Argentina) - Esquel (Argentina),Comodoro Rivadavia (Argentina),Comodoro Rivadavia,Argentina,Chubut,América del Sur,-45.8632024,-67.4752615,Esquel (Argentina),Esquel,Argentina,Chubut,América del Sur,-42.9173055,-71.3216508
Esquel (Argentina) - San Carlos de Bariloche (Argentina),Esquel (Argentina),Esquel,Argentina,Chubut,América del Sur,-42.9173055,-71.3216508,San Carlos de Bariloche (Argentina),San Carlos de Bariloche,Argentina,Río Negro,América del Sur,-41.1334781,-71.3101474
Ezeiza (Argentina) - Iquitos (Perú),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Iquitos (Perú),Iquitos,Perú,,América del Sur,-3.749365,-73.2444145
Ezeiza (Argentina) - Fort Lauderdale (Estados Unidos),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Fort Lauderdale (Estados Unidos),Fort Lauderdale,Estados Unidos,,América del Norte,26.1223084,-80.1433786
San Miguel de Tucumán (Argentina) - Santiago del Estero (Argentina),San Miguel de Tucumán (Argentina),San Miguel de Tucumán,Argentina,Tucumán,América del Sur,-26.8303703,-65.2038133,Santiago del Estero (Argentina),Santiago del Estero,Argentina,Santiago del Estero,América del Sur,-27.6431016,-63.5408542
Ciudad de Buenos Aires (Argentina) - Lima (Perú),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Lima (Perú),Lima,Perú,,América del Sur,-12.0621065,-77.0365256
Mendoza (Argentina) - San Rafael (Argentina),Mendoza (Argentina),Mendoza,Argentina,Mendoza,América del Sur,-34.787093,-68.4381868,San Rafael (Argentina),San Rafael,Argentina,Mendoza,América del Sur,-34.6126025,-68.330514
Corrientes (Argentina) - Ezeiza (Argentina),Corrientes (Argentina),Corrientes,Argentina,Corrientes,América del Sur,-28.9956512,-57.812458,Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234
Ciudad de Buenos Aires (Argentina) - La Paz (Bolivia),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,La Paz (Bolivia),La Paz,Bolivia,,América del Sur,-16.4955455,-68.1336229
Ciudad de Buenos Aires (Argentina) - Brasilia (Brasil),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Brasilia (Brasil),Brasilia,Brasil,,América del Sur,-10.3333333,-53.2
San Carlos de Bariloche (Argentina) - Ushuaia (Argentina),San Carlos de Bariloche (Argentina),San Carlos de Bariloche,Argentina,Río Negro,América del Sur,-41.1334781,-71.3101474,Ushuaia (Argentina),Ushuaia,Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",América del Sur,-54.807306,-68.3084133
Córdoba (Argentina) - Boa Vista (Brasil),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,Boa Vista (Brasil),Boa Vista,Brasil,,América del Sur,2.82,-60.671944
Comodoro Rivadavia (Argentina) - Córdoba (Argentina),Comodoro Rivadavia (Argentina),Comodoro Rivadavia,Argentina,Chubut,América del Sur,-45.8632024,-67.4752615,Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193
Ezeiza (Argentina) - La Rioja (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,La Rioja (Argentina),La Rioja,Argentina,La Rioja,América del Sur,-29.9729781,-67.0487944
Córdoba (Argentina) - Neuquén (Argentina),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,Neuquén (Argentina),Neuquén,Argentina,Neuquén,América del Sur,-38.3695057,-69.832275
Bahía Blanca (Argentina) - Puerto Madryn (Argentina),Bahía Blanca (Argentina),Bahía Blanca,Argentina,Buenos Aires,América del Sur,-38.7176522,-62.2654871,Puerto Madryn (Argentina),Puerto Madryn,Argentina,Chubut,América del Sur,-42.7673414,-65.0365942
Bahía Blanca (Argentina) - Mar del Plata (Argentina),Bahía Blanca (Argentina),Bahía Blanca,Argentina,Buenos Aires,América del Sur,-38.7176522,-62.2654871,Mar del Plata (Argentina),Mar del Plata,Argentina,Buenos Aires,América del Sur,-37.9976168,-57.5482079
Ezeiza (Argentina) - Santiago de Cuba (Cuba),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Santiago de Cuba (Cuba),Santiago de Cuba,Cuba,,América Central y Caribe,20.0214263,-75.8294928
Rosario (Argentina) - Porto Alegre (Brasil),Rosario (Argentina),Rosario,Argentina,Santa Fe,América del Sur,-32.9593609,-60.6617024,Porto Alegre (Brasil),Porto Alegre,Brasil,,América del Sur,-30.0324999,-51.2303767
Ezeiza (Argentina) - Rio Hondo (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Rio Hondo (Argentina),Rio Hondo,Argentina,Santiago del Estero,América del Sur,-27.8162017,-64.2980404
Bahía Blanca (Argentina) - Ushuaia (Argentina),Bahía Blanca (Argentina),Bahía Blanca,Argentina,Buenos Aires,América del Sur,-38.7176522,-62.2654871,Ushuaia (Argentina),Ushuaia,Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",América del Sur,-54.807306,-68.3084133
Salta (Argentina) - Cochabamba (Bolivia),Salta (Argentina),Salta,Argentina,Salta,América del Sur,-25.1076701,-64.3494964,Cochabamba (Bolivia),Cochabamba,Bolivia,,América del Sur,-17.4012458,-66.1675681
Puerto Madryn (Argentina) - Río Gallegos (Argentina),Puerto Madryn (Argentina),Puerto Madryn,Argentina,Chubut,América del Sur,-42.7673414,-65.0365942,Río Gallegos (Argentina),Río Gallegos,Argentina,Santa Cruz,América del Sur,-51.6268852,-69.105804
Comodoro Rivadavia (Argentina) - Ushuaia (Argentina),Comodoro Rivadavia (Argentina),Comodoro Rivadavia,Argentina,Chubut,América del Sur,-45.8632024,-67.4752615,Ushuaia (Argentina),Ushuaia,Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",América del Sur,-54.807306,-68.3084133
Comodoro Rivadavia (Argentina) - Mar del Plata (Argentina),Comodoro Rivadavia (Argentina),Comodoro Rivadavia,Argentina,Chubut,América del Sur,-45.8632024,-67.4752615,Mar del Plata (Argentina),Mar del Plata,Argentina,Buenos Aires,América del Sur,-37.9976168,-57.5482079
Mendoza (Argentina) - Rio Hondo (Argentina),Mendoza (Argentina),Mendoza,Argentina,Mendoza,América del Sur,-34.787093,-68.4381868,Rio Hondo (Argentina),Rio Hondo,Argentina,Santiago del Estero,América del Sur,-27.8162017,-64.2980404
Ezeiza (Argentina) - Formosa (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Formosa (Argentina),Formosa,Argentina,Formosa,América del Sur,-24.5955306,-60.4289718
San Miguel de Tucumán (Argentina) - Cochabamba (Bolivia),San Miguel de Tucumán (Argentina),San Miguel de Tucumán,Argentina,Tucumán,América del Sur,-26.8303703,-65.2038133,Cochabamba (Bolivia),Cochabamba,Bolivia,,América del Sur,-17.4012458,-66.1675681
Bahía Blanca (Argentina) - Trelew (Argentina),Bahía Blanca (Argentina),Bahía Blanca,Argentina,Buenos Aires,América del Sur,-38.7176522,-62.2654871,Trelew (Argentina),Trelew,Argentina,Chubut,América del Sur,-43.2531242,-65.3094407
Ushuaia (Argentina) - Puerto Williams (Chile),Ushuaia (Argentina),Ushuaia,Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",América del Sur,-54.807306,-68.3084133,Puerto Williams (Chile),Puerto Williams,Chile,,América del Sur,-54.935761,-67.6061824
Ezeiza (Argentina) - San Salvador de Jujuy (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,San Salvador de Jujuy (Argentina),San Salvador de Jujuy,Argentina,Jujuy,América del Sur,-24.1852569,-65.2994789
San Carlos de Bariloche (Argentina) - Trelew (Argentina),San Carlos de Bariloche (Argentina),San Carlos de Bariloche,Argentina,Río Negro,América del Sur,-41.1334781,-71.3101474,Trelew (Argentina),Trelew,Argentina,Chubut,América del Sur,-43.2531242,-65.3094407
Ezeiza (Argentina) - Mende (Francia),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Mende (Francia),Mende,Francia,,Europa,44.5180226,3.4991057
Ezeiza (Argentina) - Santa Fe (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Santa Fe (Argentina),Santa Fe,Argentina,Santa Fe,América del Sur,-30.3154739,-61.1645076
Ezeiza (Argentina) - San Rafael (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,San Rafael (Argentina),San Rafael,Argentina,Mendoza,América del Sur,-34.6126025,-68.330514
Salta (Argentina) - Asunción (Paraguay),Salta (Argentina),Salta,Argentina,Salta,América del Sur,-25.1076701,-64.3494964,Asunción (Paraguay),Asunción,Paraguay,,América del Sur,-25.2800459,-57.6343814
Rosario (Argentina) - Asunción (Paraguay),Rosario (Argentina),Rosario,Argentina,Santa Fe,América del Sur,-32.9593609,-60.6617024,Asunción (Paraguay),Asunción,Paraguay,,América del Sur,-25.2800459,-57.6343814
Ezeiza (Argentina) - Río Cuarto (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Río Cuarto (Argentina),Río Cuarto,Argentina,Córdoba,América del Sur,-33.1237585,-64.3489782
Mendoza (Argentina) - Asunción (Paraguay),Mendoza (Argentina),Mendoza,Argentina,Mendoza,América del Sur,-34.787093,-68.4381868,Asunción (Paraguay),Asunción,Paraguay,,América del Sur,-25.2800459,-57.6343814
San Carlos de Bariloche (Argentina) - Santiago (Chile),San Carlos de Bariloche (Argentina),San Carlos de Bariloche,Argentina,Río Negro,América del Sur,-41.1334781,-71.3101474,Santiago (Chile),Santiago,Chile,,América del Sur,-33.4377756,-70.6504502
Mendoza (Argentina) - San Luis (Argentina),Mendoza (Argentina),Mendoza,Argentina,Mendoza,América del Sur,-34.787093,-68.4381868,San Luis (Argentina),San Luis,Argentina,San Luis,América del Sur,-33.2762202,-65.9515546
Puerto Iguazú (Argentina) - Resistencia (Argentina),Puerto Iguazú (Argentina),Puerto Iguazú,Argentina,Misiones,América del Sur,-25.6107508,-54.5764199,Resistencia (Argentina),Resistencia,Argentina,Chaco,América del Sur,-27.6048829,-59.1932003
Posadas (Argentina) - Resistencia (Argentina),Posadas (Argentina),Posadas,Argentina,Misiones,América del Sur,-27.3664824,-55.894295,Resistencia (Argentina),Resistencia,Argentina,Chaco,América del Sur,-27.6048829,-59.1932003
Puerto Madryn (Argentina) - Viedma (Argentina),Puerto Madryn (Argentina),Puerto Madryn,Argentina,Chubut,América del Sur,-42.7673414,-65.0365942,Viedma (Argentina),Viedma,Argentina,Río Negro,América del Sur,-40.8084274,-62.994722
Rosario (Argentina) - Santa Fe (Argentina),Rosario (Argentina),Rosario,Argentina,Santa Fe,América del Sur,-32.9593609,-60.6617024,Santa Fe (Argentina),Santa Fe,Argentina,Santa Fe,América del Sur,-30.3154739,-61.1645076
Córdoba (Argentina) - Manaus (Brasil),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,Manaus (Brasil),Manaus,Brasil,,América del Sur,-3.1316333,-59.9825041
Neuquén (Argentina) - Trelew (Argentina),Neuquén (Argentina),Neuquén,Argentina,Neuquén,América del Sur,-38.3695057,-69.832275,Trelew (Argentina),Trelew,Argentina,Chubut,América del Sur,-43.2531242,-65.3094407
Puerto Iguazú (Argentina) - Foz Do Iguaçu (Brasil),Puerto Iguazú (Argentina),Puerto Iguazú,Argentina,Misiones,América del Sur,-25.6107508,-54.5764199,Foz Do Iguaçu (Brasil),Foz Do Iguaçu,Brasil,,América del Sur,-25.5304023,-54.5830692
Córdoba (Argentina) - Rio Hondo (Argentina),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,Rio Hondo (Argentina),Rio Hondo,Argentina,Santiago del Estero,América del Sur,-27.8162017,-64.2980404
